File Name, HeapSort, MergeSort, QuickSort, 
./Test Files/Medium_Sorted_11.txt, 15773997, 11598389, 1283, 
./Test Files/Medium_Sorted_12.txt, 15868509, 12236021, 1711, 
./Test Files/Medium_Sorted_13.txt, 15843277, 11626186, 1711, 
./Test Files/Medium_Sorted_14.txt, 16067795, 11716849, 1711, 
./Test Files/Medium_Sorted_15.txt, 15859527, 12141508, 1711, 
./Test Files/Medium_Sorted_16.txt, 23547027, 12283062, 1711, 
./Test Files/Medium_Sorted_17.txt, 16051544, 11974724, 1710, 
./Test Files/Medium_Sorted_18.txt, 15805644, 11664248, 1283, 
./Test Files/Medium_Sorted_19.txt, 16647265, 13480919, 1711, 
./Test Files/Medium_Sorted_20.txt, 15845416, 11828894, 1711, 
./Test Files/Medium_Sorted_21.txt, 17830155, 12070090, 1711, 
./Test Files/Medium_Sorted_22.txt, 16013483, 11582566, 1711, 
./Test Files/Medium_Sorted_23.txt, 15757318, 13074221, 1711, 
./Test Files/Medium_Sorted_24.txt, 16090033, 11527398, 1711, 
./Test Files/Medium_Sorted_25.txt, 16832439, 12494750, 1711, 
./Test Files/Medium_Sorted_26.txt, 16078059, 13111427, 1711, 
./Test Files/Medium_Sorted_27.txt, 15786827, 11662109, 2139, 
./Test Files/Medium_Sorted_28.txt, 15874068, 11571019, 1710, 
./Test Files/Medium_Sorted_29.txt, 15786827, 12615348, 1283, 
